MovieID|DateTimeCreated|CreatedByUser|DateTimeDeleted|DeletedByUser|Title|IMDBID|IMDBRating|RunningTime|IMDBVotes|PlotSummary|Plot|ReleasedYear|Language|Country|Genre|Director|Cast|PosterURL|MoviestatusID|MoviequalityID
30|2018-02-21 08:29:16.5712330|1|||Flags of our Fathers|tt0418689|7.0999999999999996|135|107486|The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.|In 1945, the Marines attack twelve thousand Japaneses protecting the twenty square kilometers of the sacred Iwo Jima island in a very violent battle. When they reach the Mount Suribachi and six Marines raise their flag on the top, the picture becomes a symbol in a post Great Depression America. The government brings the three survivors to America to raise funds for war, bringing hope to desolate people, and making the three men heroes of the war. However, the traumatized trio has difficulty dealing with the image built by their superiors, sharing the heroism with their mates.|2006|English|USA|Drama, History, War|Clint Eastwood|Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey|https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MjYxMjMyMF5BMl5BanBnXkFtZTYwMzAwMDc3._V1_SX300.jpg|1|1
31|2018-02-21 08:31:58.9019980|1|||Red Cliff|tt0425637|7.4000000000000004|148|39766|The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).|In 208 A.D., in the final days of the Han Dynasty, shrewd Prime Minster Cao Cao convinced the fickle Emperor Han the only way to unite all of China was to declare war on the kingdoms of Xu in the west and East Wu in the south. Thus began a military campaign of unprecedented scale, led by the Prime Minister, himself. Left with no other hope for survival, the kingdoms of Xu and East Wu formed an unlikely alliance. Numerous battles of strength and wit ensued, both on land and on water, eventually culminating in the battle of Red Cliff. During the battle, two thousand ships were burned, and the course of Chinese history was changed forever.|2008|Mandarin|China, Hong Kong, Japan, Taiwan, South Korea|Action, Adventure, Drama|John Woo|Tony Chiu-Wai Leung, Takeshi Kaneshiro, Fengyi Zhang, Chen Chang|https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyOTQ3NDA1OV5BMl5BanBnXkFtZTcwMDY3NzM4Mg@@._V1_SX300.jpg|1|1
32|2018-02-21 08:33:07.5295379|1|||Red Cliff II|tt1326972|7.5999999999999996|142|20644|In this sequel to Red Cliff, Chancellor Cao Cao convinces Emperor Xian of the Han to initiate a battle against the two Kingdoms of Shu and Wu, who have become allied forces, against all ...|In this sequel to Red Cliff, Chancellor Cao Cao convinces Emperor Xian of the Han to initiate a battle against the two Kingdoms of Shu and Wu, who have become allied forces, against all expectations. Red Cliff will be the site for the gigantic battle.|2009|Mandarin|China, Hong Kong, Japan, Taiwan, South Korea|Action, Drama, History|John Woo|Tony Chiu-Wai Leung, Takeshi Kaneshiro, Fengyi Zhang, Chen Chang|https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTc4OTM5OF5BMl5BanBnXkFtZTcwNDA5ODIxMw@@._V1_SX300.jpg|1|1
33|2018-02-21 08:36:39.7580189|1|||Kung Fu Panda|tt0441773|7.5999999999999996|92|346890|The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.|It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths.|2008|English|USA|Animation, Action, Adventure|Mark Osborne, John Stevenson|Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane|https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTY1NjUyN15BMl5BanBnXkFtZTcwMjMxMDk1MQ@@._V1_SX300.jpg|1|1
34|2018-02-21 09:52:34.3688480|1|||The Dark Knight Project|tt1330604|4.2000000000000002|15|138|Set between the events of Christopher Nolan's "Batman Begins" and "The Dark Knight", two high schoolers attempt to be the first to capture video footage of Batman, and inadvertently ...|Set between the events of Christopher Nolan's "Batman Begins" and "The Dark Knight", two high schoolers attempt to be the first to capture video footage of Batman, and inadvertently encounter the masked vigilante who saves both their lives.|2008|English|USA|Short, Adventure|Jerry A. Vasilatos|Christopher Nendick, Allyssa O'Donnell, David Sanchez, Lou Zucaro|https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NzA2MTI5MF5BMl5BanBnXkFtZTcwMDU4MzcwMg@@._V1_SX300.jpg|1|2
35|2018-02-21 09:54:46.6846239|1|||Wonder Woman|tt0451279|7.5|141|370886|When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.|Diana, princess of the Amazons, trained to be an unconquerable warrior. Raised on a sheltered island paradise, when a pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat. Fighting alongside man in a war to end all wars, Diana will discover her full powers and her true destiny.|2017|English, German, Dutch, French, Spanish, Chinese, Greek,  Ancient (to 1453), North American Indian|Hong Kong, China, USA|Action, Adventure, Fantasy|Patty Jenkins|Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright|https://images-na.ssl-images-amazon.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg|1|1
36|2018-02-21 09:54:58.0555028|1|||La La Land|tt3783958|8.0999999999999996|128|345605|While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.|Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.|2016|English|USA, Hong Kong|Comedy, Drama, Music|Damien Chazelle|Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters|https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg|1|1
37|2018-02-21 18:20:13.6787889|1|||The Revenant|tt1663202|8|156|543531|A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.|While exploring the uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.|2015|English, Pawnee, French|USA, Hong Kong, Taiwan|Adventure, Drama, History|Alejandro G. Iñárritu|Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter|https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg|1|2
38|2018-02-21 22:57:06.8714609|1|||The Revenant|tt1663202|8|156|543531|A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.|While exploring the uncharted wilderness in 1823, legendary frontiersman Hugh Glass sustains injuries from a brutal bear attack. When his hunting team leaves him for dead, Glass must utilize his survival skills to find a way back home while avoiding natives on their own hunt. Grief-stricken and fueled by vengeance, Glass treks through the wintry terrain to track down John Fitzgerald, the former confidant who betrayed and abandoned him.|2015|English, Pawnee, French|USA, Hong Kong, Taiwan|Adventure, Drama, History|Alejandro G. Iñárritu|Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter|https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg|1|1
39|2018-02-22 11:16:22.7444849|1|||Blood Diamond|tt0450259|8|143|437916|A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.|A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.|2006|English, Mende, Afrikaans|Germany, USA|Adventure, Drama, Thriller|Edward Zwick|Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers|https://images-na.ssl-images-amazon.com/images/M/MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg|1|1
40|2018-02-22 11:16:32.1400380|1|||Blood Diamond|tt0450259|8|143|437916|A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.|A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.|2006|English, Mende, Afrikaans|Germany, USA|Adventure, Drama, Thriller|Edward Zwick|Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers|https://images-na.ssl-images-amazon.com/images/M/MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg|1|2
41|2018-02-22 13:28:46.2105879|1|||Kung Fu Panda|tt0441773|7.5999999999999996|92|346890|The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance: However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a tyro in martial arts.|It's the story about a lazy, irreverent slacker panda, named Po, who is the biggest fan of Kung Fu around...which doesn't exactly come in handy while working every day in his family's noodle shop. Unexpectedly chosen to fulfill an ancient prophecy, Po's dreams become reality when he joins the world of Kung Fu and studies alongside his idols, the legendary Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- under the leadership of their guru, Master Shifu. But before they know it, the vengeful and treacherous snow leopard Tai Lung is headed their way, and it's up to Po to defend everyone from the oncoming threat. Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task, and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths.|2008|English|USA|Animation, Action, Adventure|Mark Osborne, John Stevenson|Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane|https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTY1NjUyN15BMl5BanBnXkFtZTcwMjMxMDk1MQ@@._V1_SX300.jpg|1|2
42|2018-02-22 13:29:45.0583748|1|||Yes Man|tt1068680|6.7999999999999998|104|293665|A man challenges himself to say "yes" to everything for an entire year.|Carl Allen is at a standstill. No future... Until the day he enrolls into a personal development program based on a very simple idea: say yes to everything! Carl discovers with amazement the magical power of "Yes", and sees his professional and romantic life turned upside down overnight: an unexpected promotion and a new girlfriend. But he'll soon discover that better can be good's enemy, and that all opportunities shouldn't be taken.|2008|English, Korean, Estonian|USA, UK|Comedy, Romance|Peyton Reed|Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins|https://images-na.ssl-images-amazon.com/images/M/MV5BMzBmZTMzYmItNzhhMC00M2FkLWIxMGEtMjIxMjAwNmQ2ZmM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg|1|2
43|2018-02-22 15:39:46.6318030|1|||Goodfellas|tt0099685|8.6999999999999993|146|823961|The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.|Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?|1990|English, Italian|USA|Biography, Crime, Drama|Martin Scorsese|Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco|https://images-na.ssl-images-amazon.com/images/M/MV5BNThjMzczMjctZmIwOC00NTQ4LWJhZWItZDdhNTk5ZTdiMWFlXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg|1|1
44|2018-02-22 15:51:36.7905719|1|||Matrix Revolutions|tt0242653|6.7000000000000002|129|392767|The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.|Neo discovers that somehow he is able to use his powers in the real world too and that his mind can be freed from his body, as a result of which he finds himself trapped on a train station between the Matrix and the Real World. Meanwhile, Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party, someone who has plans to destroy both the worlds.|2003|English, French|Australia, USA|Action, Sci-Fi|Lana Wachowski, Lilly Wachowski|Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan|https://images-na.ssl-images-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg|1|2
45|2018-02-22 19:14:14.9041130|1|||Raise the Red Lantern|tt0101640|8.1999999999999993|125|23120|A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.|China in the 1920's. After her father's death, nineteen year old Songlian is forced to marry Chen Zuoqian, the lord of a powerful family. Fifty year old Chen has already three wives, each of them living in separate houses within the great castle. The competition between the wives is tough, as their master's attention carries power, status and privilege. Each night Chen must decide with which wife to spend the night and a red lantern is lit in front of the house of his choice. And each wife schemes and plots to make sure it's hers. However, things get out of hand...|1991|Mandarin|China, Hong Kong, Taiwan|Drama, History, Romance|Yimou Zhang|Li Gong, Saifei He, Cuifen Cao, Jingwu Ma|https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNjY5NDcwNV5BMl5BanBnXkFtZTcwNzEwMzg4NA@@._V1_SX300.jpg|1|1
46|2018-02-22 19:41:41.0778439|1|||Batman Begins|tt0372784|8.3000000000000007|140|1099197|After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.|When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as 'Batman'. But it doesn't stay quiet for long.|2005|English, Urdu, Mandarin|USA, UK|Action, Adventure, Thriller|Christopher Nolan|Christian Bale, Michael Caine, Liam Neeson, Katie Holmes|https://images-na.ssl-images-amazon.com/images/M/MV5BYzc4ODgyZmYtMGFkZC00NGQyLWJiMDItMmFmNjJiZjcxYzVmXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg|1|2
47|2018-02-23 10:30:17.5070090|1|||King Kong|tt0360717|7.2000000000000002|187|346494|In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to the mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.|Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind.|2005|English|New Zealand, USA, Germany|Action, Adventure, Drama|Peter Jackson|Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann|https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg|1|1
